,face_detected,eye_openness,head_pose,typing_speed,mouse_activity,idle_time
count,513.0,513.0,513.0,513.0,513.0,513.0
mean,0.7173489278752436,0.01234074074074074,0.49317738791423,137.7798440545809,184.90058479532163,5.5786354775828455
std,0.4507276983830355,0.012693629870686377,0.5004414474243664,108.98658226606673,109.0249391787888,6.136291735196592
min,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,38.55,97.0,0.59
50%,1.0,0.0,0.0,122.73,183.0,1.46
75%,1.0,0.025,1.0,231.83,257.0,10.39
max,1.0,0.03,1.0,443.06,750.0,20.01
